Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000186395	KRT10	-Inf	4.080
ENSG00000181625	SLX1B	-6.436	3.774
ENSG00000249839	AC011330.5	-5.992	3.172
ENSG00000171346	KRT15	-291.699	2.557
ENSG00000116741	RGS2	-216.461	2.501
ENSG00000234857	HNRNPUL2-BSCL2	-1.859	2.433
ENSG00000135821	GLUL	-301.793	2.282
ENSG00000113083	LOX	-120.830	2.229
ENSG00000186832	KRT16	-266.990	2.213
ENSG00000157514	TSC22D3	-240.464	2.056
ENSG00000027697	IFNGR1	-184.372	1.973
ENSG00000011198	ABHD5	-102.535	1.948
ENSG00000134757	DSG3	-150.860	1.929
ENSG00000112096	SOD2	-154.777	1.920
ENSG00000135069	PSAT1	-161.747	1.881
ENSG00000184205	TSPYL2	-120.124	1.867
ENSG00000160201	U2AF1	-3.510	1.837
ENSG00000187134	AKR1C1	-120.059	1.826
ENSG00000164687	FABP5	-180.140	1.801
ENSG00000184076	UQCR10	-164.694	1.798
ENSG00000158716	DUSP23	-134.576	1.788
ENSG00000139112	GABARAPL1	-75.737	1.771
ENSG00000165672	PRDX3	-135.353	1.733
ENSG00000115380	EFEMP1	-117.212	1.719
ENSG00000196562	SULF2	-81.967	1.689
ENSG00000162366	PDZK1IP1	-85.946	1.678
ENSG00000196139	AKR1C3	-108.707	1.670
ENSG00000234964	FABP5P7	-26.299	1.663
ENSG00000069849	ATP1B3	-132.979	1.659
ENSG00000168447	SCNN1B	-83.067	1.654
ENSG00000259171	RP11-903H12.5	-2.844	1.611
ENSG00000106211	HSPB1	-125.728	1.579
ENSG00000169991	IFFO2	-92.940	1.560
ENSG00000182809	CRIP2	-70.789	1.551
ENSG00000220793	RPL21P119	-1.603	1.550
ENSG00000151414	NEK7	-70.197	1.527
ENSG00000133639	BTG1	-120.012	1.518
ENSG00000164930	FZD6	-149.363	1.509
ENSG00000131669	NINJ1	-105.432	1.508
ENSG00000172819	RARG	-99.130	1.502
ENSG00000250021	C15orf38-AP3S2	-1.672	1.500
ENSG00000170465	KRT6C	-7.917	1.490
ENSG00000272398	CD24	-24.227	1.483
ENSG00000122644	ARL4A	-72.258	1.470
ENSG00000122643	NT5C3A	-47.413	1.466
ENSG00000235174	RPL39P3	-2.322	1.460
ENSG00000136108	CKAP2	-140.288	1.445
ENSG00000210082	MT-RNR2	-85.391	1.436
ENSG00000080546	SESN1	-94.630	1.431
ENSG00000082641	NFE2L1	-89.864	1.411
ENSG00000134755	DSC2	-52.992	1.404
ENSG00000147419	CCDC25	-100.809	1.398
ENSG00000134762	DSC3	-52.000	1.383
ENSG00000211459	MT-RNR1	-88.749	1.379
ENSG00000118418	HMGN3	-97.948	1.371
ENSG00000173432	SAA1	-63.630	1.363
ENSG00000146278	PNRC1	-67.090	1.351
ENSG00000140416	TPM1	-77.190	1.340
ENSG00000130707	ASS1	-126.775	1.336
ENSG00000180776	ZDHHC20	-87.528	1.333
ENSG00000186847	KRT14	-151.979	1.332
ENSG00000177508	IRX3	-33.871	1.324
ENSG00000140450	ARRDC4	-41.991	1.303
ENSG00000206527	HACD2	-55.565	1.293
ENSG00000117318	ID3	-107.276	1.292
ENSG00000163993	S100P	-33.550	1.273
ENSG00000215717	TMEM167B	-45.970	1.273
ENSG00000117394	SLC2A1	-99.123	1.272
ENSG00000277443	MARCKS	-35.536	1.270
ENSG00000119900	OGFRL1	-86.459	1.269
ENSG00000164898	FMC1	-19.460	1.267
ENSG00000115112	TFCP2L1	-55.066	1.252
ENSG00000169288	MRPL1	-30.860	1.246
ENSG00000148671	ADIRF	-103.100	1.243
ENSG00000134108	ARL8B	-73.562	1.237
ENSG00000159388	BTG2	-78.477	1.236
ENSG00000133678	TMEM254	-40.758	1.234
ENSG00000186493	C5orf38	-33.421	1.229
ENSG00000058799	YIPF1	-38.739	1.222
ENSG00000187193	MT1X	-78.563	1.219
ENSG00000168216	LMBRD1	-29.005	1.210
ENSG00000198938	MT-CO3	-82.468	1.204
ENSG00000198736	MSRB1	-50.156	1.202
ENSG00000181218	HIST3H2A	-31.667	1.200
ENSG00000047936	ROS1	-48.323	1.200
ENSG00000257084	U47924.27	-14.894	1.198
ENSG00000125848	FLRT3	-75.488	1.196
ENSG00000121552	CSTA	-96.160	1.193
ENSG00000072210	ALDH3A2	-81.067	1.179
ENSG00000132646	PCNA	-71.528	1.179
ENSG00000169474	SPRR1A	-3.556	1.177
ENSG00000164032	H2AFZ	-73.257	1.166
ENSG00000138029	HADHB	-105.518	1.163
ENSG00000123364	HOXC13	-34.715	1.158
ENSG00000118515	SGK1	-86.531	1.154
ENSG00000151632	AKR1C2	-71.492	1.152
ENSG00000182580	EPHB3	-35.577	1.150
ENSG00000120738	EGR1	-26.755	1.142
ENSG00000104267	CA2	-60.667	1.137
ENSG00000115541	HSPE1	-91.047	1.135
ENSG00000172292	CERS6	-40.155	1.130
ENSG00000166828	SCNN1G	-42.141	1.124
ENSG00000131747	TOP2A	-74.323	1.123
ENSG00000086666	ZFAND6	-43.875	1.117
ENSG00000143162	CREG1	-74.718	1.116
ENSG00000143819	EPHX1	-67.856	1.113
ENSG00000164904	ALDH7A1	-89.619	1.112
ENSG00000215114	UBXN2B	-52.618	1.098
ENSG00000070731	ST6GALNAC2	-37.402	1.083
ENSG00000116266	STXBP3	-52.912	1.082
ENSG00000260260	SNHG19	-16.596	1.069
ENSG00000014824	SLC30A9	-73.372	1.069
ENSG00000166165	CKB	-21.262	1.067
ENSG00000096696	DSP	-42.393	1.065
ENSG00000080819	CPOX	-26.491	1.064
