Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000239797	RPL21P39	-2.088	4.043
ENSG00000236675	MTX1P1	-6.122	3.950
ENSG00000230076	RPL10P6	-1.498	3.657
ENSG00000120708	TGFBI	-Inf	3.518
ENSG00000131747	TOP2A	-Inf	2.780
ENSG00000187193	MT1X	-239.372	2.715
ENSG00000068489	PRR11	-Inf	2.659
ENSG00000117399	CDC20	-232.791	2.505
ENSG00000175063	UBE2C	-183.259	2.466
ENSG00000157456	CCNB2	-318.129	2.410
ENSG00000232176	RP11-146N23.1	-2.096	2.348
ENSG00000171848	RRM2	-318.521	2.208
ENSG00000112984	KIF20A	-195.350	2.192
ENSG00000166851	PLK1	-180.610	2.178
ENSG00000169627	BOLA2B	-4.837	2.178
ENSG00000109321	AREG	-219.445	2.142
ENSG00000117525	F3	-207.517	2.099
ENSG00000089685	BIRC5	-141.104	2.073
ENSG00000156970	BUB1B	-157.790	2.073
ENSG00000010292	NCAPD2	-Inf	2.051
ENSG00000177494	ZBED2	-197.288	2.050
ENSG00000164104	HMGB2	-170.174	1.984
ENSG00000134057	CCNB1	-224.928	1.967
ENSG00000137804	NUSAP1	-161.605	1.895
ENSG00000270800	RPS10-NUDT3	-2.325	1.875
ENSG00000135318	NT5E	-271.721	1.857
ENSG00000088325	TPX2	-234.209	1.842
ENSG00000166033	HTRA1	-232.982	1.826
ENSG00000117632	STMN1	-193.479	1.800
ENSG00000173432	SAA1	-74.363	1.791
ENSG00000165280	VCP	-Inf	1.783
ENSG00000087586	AURKA	-142.819	1.781
ENSG00000135451	TROAP	-33.556	1.705
ENSG00000129515	SNX6	-234.583	1.691
ENSG00000280206	CTB-193M12.5	-40.149	1.679
ENSG00000157514	TSC22D3	-119.277	1.673
ENSG00000128641	MYO1B	-178.020	1.662
ENSG00000206341	HLA-H	-1.730	1.660
ENSG00000247556	OIP5-AS1	-196.349	1.649
ENSG00000125148	MT2A	-117.883	1.606
ENSG00000057294	PKP2	-226.646	1.606
ENSG00000162840	MT2P1	-19.294	1.587
ENSG00000137411	VARS2	-113.064	1.576
ENSG00000173153	ESRRA	-167.850	1.548
ENSG00000146648	EGFR	-158.821	1.534
ENSG00000049323	LTBP1	-137.110	1.507
ENSG00000239470	RP11-16F15.2	-1.835	1.494
ENSG00000133315	MACROD1	-30.382	1.490
ENSG00000175414	ARL10	-6.241	1.489
ENSG00000092036	HAUS4	-70.691	1.483
ENSG00000116741	RGS2	-98.121	1.474
ENSG00000274012	RN7SL2	-12.737	1.470
ENSG00000113328	CCNG1	-189.553	1.458
ENSG00000019549	SNAI2	-148.174	1.455
ENSG00000112640	PPP2R5D	-113.835	1.450
ENSG00000122861	PLAU	-77.967	1.444
ENSG00000198901	PRC1	-120.902	1.436
ENSG00000124207	CSE1L	-167.975	1.429
ENSG00000004961	HCCS	-37.114	1.422
ENSG00000163918	RFC4	-40.207	1.404
ENSG00000108055	SMC3	-103.888	1.392
ENSG00000114209	PDCD10	-147.156	1.392
ENSG00000164611	PTTG1	-136.217	1.387
ENSG00000109084	TMEM97	-50.098	1.387
ENSG00000189060	H1F0	-98.917	1.386
ENSG00000120437	ACAT2	-92.773	1.383
ENSG00000119392	GLE1	-66.263	1.379
ENSG00000138764	CCNG2	-110.874	1.377
ENSG00000123975	CKS2	-126.618	1.374
ENSG00000104889	RNASEH2A	-30.765	1.372
ENSG00000239246	RP11-464D20.2	-1.496	1.360
ENSG00000091436	AC013461.1	-151.226	1.353
ENSG00000142178	SIK1	-4.283	1.348
ENSG00000259781	RP11-673C5.1	-26.322	1.344
ENSG00000260269	CTD-2323K18.1	-2.277	1.339
